Date,Open,High,Low,Close,Adj Close,Volume
2020-02-26,0.732293,0.756303,0.668267,0.700280,0.700280,21491
2020-02-27,0.700280,1.080432,0.660264,0.928371,0.928371,247901
2020-02-28,0.992397,1.180472,0.808323,0.856343,0.856343,293383
2020-03-02,0.940376,0.940376,0.800320,0.804322,0.804322,31487
2020-03-03,0.804322,0.808323,0.800320,0.800320,0.800320,10746
2020-03-04,0.800320,0.800320,0.664266,0.708283,0.708283,101959
2020-03-05,0.752301,0.924370,0.752301,0.824330,0.824330,123701
2020-03-06,0.840336,0.872349,0.800320,0.844338,0.844338,40484
2020-03-09,0.840336,0.840336,0.760304,0.764306,0.764306,20242
2020-03-10,0.820328,0.820328,0.768307,0.808323,0.808323,46981
2020-03-11,1.900760,3.081232,1.260504,1.580632,1.580632,29728604
2020-03-12,2.300920,2.320928,1.600640,2.104842,2.104842,10138443
2020-03-13,1.760704,1.760704,1.200480,1.336535,1.336535,2456767
2020-03-16,1.000400,1.040416,0.788315,0.900360,0.900360,1489904
2020-03-17,0.980392,1.060424,0.884354,0.912365,0.912365,701219
2020-03-18,0.880352,0.880352,0.748299,0.804322,0.804322,771941
2020-03-19,0.840336,0.840336,0.624250,0.684274,0.684274,1002099
2020-03-20,0.720288,0.784314,0.700280,0.712285,0.712285,578768
2020-03-23,0.808323,0.840336,0.672269,0.720288,0.720288,658986
2020-03-24,0.740296,0.752301,0.668267,0.720288,0.720288,775440
2020-03-25,0.696279,0.764306,0.688275,0.728291,0.728291,579268
2020-03-26,0.768307,0.780312,0.712285,0.752301,0.752301,607757
2020-03-27,0.744298,0.760304,0.664266,0.712285,0.712285,423081
2020-03-30,0.724290,0.760304,0.704282,0.744298,0.744298,350860
2020-03-31,0.768307,0.896359,0.768307,0.816327,0.816327,751949
2020-04-01,0.836335,0.836335,0.664266,0.720288,0.720288,258397
2020-04-02,0.728291,0.852341,0.728291,0.792317,0.792317,654238
2020-04-03,0.800320,0.864346,0.756303,0.828331,0.828331,261895
2020-04-06,0.832333,0.896359,0.812325,0.856343,0.856343,431078
2020-04-07,0.840336,0.856343,0.784314,0.848339,0.848339,146941
2020-04-08,0.836335,0.876351,0.816327,0.868347,0.868347,383846
2020-04-09,1.480592,1.520608,1.232493,1.360544,1.360544,19640891
2020-04-13,1.300520,1.384554,1.204482,1.232493,1.232493,2790883
2020-04-14,1.472589,1.480592,1.304522,1.340536,1.340536,2708666
2020-04-15,1.400560,1.400560,1.212485,1.260504,1.260504,987105
2020-04-16,1.260504,1.316527,1.216487,1.292517,1.292517,563774
2020-04-17,1.304522,1.312525,1.220488,1.268507,1.268507,524540
2020-04-20,1.236495,1.240496,1.120448,1.220488,1.220488,455818
2020-04-21,1.304522,1.320528,1.216487,1.252501,1.252501,449070
2020-04-22,1.248499,1.252501,1.200480,1.220488,1.220488,268643
2020-04-23,1.200480,1.236495,1.168467,1.200480,1.200480,260896
2020-04-24,1.164466,1.228491,1.080432,1.188475,1.188475,1044332
2020-04-27,1.332533,1.340536,1.100440,1.216487,1.216487,1902739
2020-04-28,1.188475,1.204482,1.124450,1.172469,1.172469,484306
2020-04-29,1.160464,1.180472,1.116447,1.164466,1.164466,355858
2020-04-30,1.148459,1.168467,1.052421,1.108443,1.108443,419582
2020-05-01,1.060424,1.132453,1.040416,1.128451,1.128451,267643
2020-05-04,1.208483,1.300520,1.180472,1.180472,1.180472,1533386
2020-05-05,1.308523,1.448579,1.244498,1.392557,1.392557,1879998
2020-05-06,1.492597,1.516607,1.400560,1.480592,1.480592,705218
2020-05-07,1.512605,1.528611,1.284514,1.456583,1.456583,476060
2020-05-08,1.384554,1.480592,1.360544,1.432573,1.432573,232907
2020-05-11,1.520608,1.596639,1.444578,1.596639,1.596639,682227
2020-05-12,1.600640,1.640656,1.520608,1.632653,1.632653,647741
2020-05-13,1.836735,2.080832,1.612645,1.780712,1.780712,1802779
2020-05-14,2.000800,2.056823,1.680672,2.040816,2.040816,1499900
2020-05-15,2.016807,2.360944,2.004802,2.236895,2.236895,1136795
2020-05-18,2.304922,2.440976,2.252901,2.360944,2.360944,1007847
2020-05-19,2.364946,2.392957,2.060824,2.160864,2.160864,454818
2020-05-20,2.104842,2.184874,1.764706,1.900760,1.900760,833417
2020-05-21,1.888756,2.100840,1.824730,2.060824,2.060824,502799
2020-05-22,2.300920,2.360944,2.120848,2.292917,2.292917,915634
2020-05-26,2.597039,2.613045,2.400960,2.476991,2.476991,1102809
2020-05-27,2.452981,2.509004,2.356943,2.452981,2.452981,364854
2020-05-28,2.492997,2.601040,2.480992,2.509004,2.509004,194422
2020-05-29,2.721088,2.741096,2.521008,2.645058,2.645058,508047
2020-06-01,2.685074,2.809124,2.649060,2.741096,2.741096,480558
2020-06-02,2.801120,2.801120,2.505002,2.649060,2.649060,259146
2020-06-03,2.509004,2.621048,2.440976,2.621048,2.621048,263395
2020-06-04,2.617047,2.645058,2.529012,2.601040,2.601040,221162
